native_task_id,method_id,requested_trials,completed_trials,execution_errors,initially_solved_trials,native_success_ever_all_requested,native_success_final_all_requested,native_success_last_10_all_requested,nontrivial_completed_trials,success_ever_nontrivial_completed
assembly-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
assembly-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
assembly-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
assembly-v3,bc_linear,5,5,0,0,0.0,0.0,0.0,5,0.0
assembly-v3,bc_extra_trees,5,5,0,0,1.0,0.2,0.2,5,1.0
basketball-v3,scripted_reference,5,5,0,0,1.0,0.8,0.8,5,1.0
basketball-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
basketball-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
basketball-v3,bc_linear,5,5,0,0,0.0,0.0,0.0,5,0.0
basketball-v3,bc_extra_trees,5,5,0,0,0.6,0.2,0.2,5,0.6
bin-picking-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
bin-picking-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
bin-picking-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
bin-picking-v3,bc_linear,5,5,0,0,0.0,0.0,0.0,5,0.0
bin-picking-v3,bc_extra_trees,5,5,0,0,0.6,0.6,0.6,5,0.6
box-close-v3,scripted_reference,5,5,0,0,0.8,0.4,0.4,5,0.8
box-close-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
box-close-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
box-close-v3,bc_linear,5,5,0,0,0.6,0.0,0.0,5,0.6
box-close-v3,bc_extra_trees,5,5,0,0,0.8,0.6,0.6,5,0.8
button-press-topdown-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
button-press-topdown-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
button-press-topdown-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
button-press-topdown-v3,bc_linear,5,5,0,0,1.0,0.2,0.2,5,1.0
button-press-topdown-v3,bc_extra_trees,5,5,0,0,1.0,0.2,0.2,5,1.0
button-press-topdown-wall-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
button-press-topdown-wall-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
button-press-topdown-wall-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
button-press-topdown-wall-v3,bc_linear,5,5,0,0,1.0,0.2,0.0,5,1.0
button-press-topdown-wall-v3,bc_extra_trees,5,5,0,0,0.6,0.0,0.0,5,0.6
button-press-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
button-press-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
button-press-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
button-press-v3,bc_linear,5,5,0,0,1.0,1.0,1.0,5,1.0
button-press-v3,bc_extra_trees,5,5,0,0,1.0,0.6,0.6,5,1.0
button-press-wall-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
button-press-wall-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
button-press-wall-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
button-press-wall-v3,bc_linear,5,5,0,0,1.0,1.0,1.0,5,1.0
button-press-wall-v3,bc_extra_trees,5,5,0,0,1.0,1.0,1.0,5,1.0
coffee-button-v3,scripted_reference,5,5,0,0,1.0,0.0,0.0,5,1.0
coffee-button-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
coffee-button-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
coffee-button-v3,bc_linear,5,5,0,0,1.0,0.0,0.0,5,1.0
coffee-button-v3,bc_extra_trees,5,5,0,0,1.0,0.4,0.4,5,1.0
coffee-pull-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
coffee-pull-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
coffee-pull-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
coffee-pull-v3,bc_linear,5,5,0,0,0.0,0.0,0.0,5,0.0
coffee-pull-v3,bc_extra_trees,5,5,0,0,0.8,0.2,0.2,5,0.8
coffee-push-v3,scripted_reference,5,5,0,0,1.0,0.8,0.8,5,1.0
coffee-push-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
coffee-push-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
coffee-push-v3,bc_linear,5,5,0,0,0.6,0.0,0.0,5,0.6
coffee-push-v3,bc_extra_trees,5,5,0,0,0.6,0.0,0.0,5,0.6
dial-turn-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
dial-turn-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
dial-turn-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
dial-turn-v3,bc_linear,5,5,0,0,1.0,1.0,1.0,5,1.0
dial-turn-v3,bc_extra_trees,5,5,0,0,0.8,0.8,0.8,5,0.8
disassemble-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
disassemble-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
disassemble-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
disassemble-v3,bc_linear,5,5,0,0,0.0,0.0,0.0,5,0.0
disassemble-v3,bc_extra_trees,5,5,0,0,0.6,0.6,0.6,5,0.6
door-close-v3,scripted_reference,5,5,0,0,1.0,1.0,1.0,5,1.0
door-close-v3,uniform_random,5,5,0,0,0.0,0.0,0.0,5,0.0
door-close-v3,zero_action,5,5,0,0,0.0,0.0,0.0,5,0.0
door-close-v3,bc_linear,5,5,0,0,1.0,1.0,1.0,5,1.0
