native_task_id,source_package,scene_entrypoint,scene_entrypoint_sha256,unit,canonical_layout_id,source_role,independent_new_layout,source_license_scope
assembly-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_assembly_peg.xml,7c6595b9a3a67d59b31ca8090c1f05f6197853806a43d637ce9395c912448ff3,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
basketball-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_basketball.xml,ae84c76e7becf9359207d1abbf615d9deac35aa562f295365233e31006bbc9f3,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
bin-picking-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_bin_picking.xml,eecdb431e54d023ad7dfc145c8f8e51525879ef092d8b49aaf2497eefec99154,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
box-close-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_box.xml,51d306400a22c8e4a55e21ddff1ac55192862380d63f63b66d4610c03547c8b2,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
button-press-topdown-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_button_press_topdown.xml,40a5fd5df87fc759259ac166906795288b33a3529f14f11812d8b75fe346f958,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
button-press-topdown-wall-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_button_press_topdown_wall.xml,7c5eb31f62ff1535ee290fb744b31e7c9f91d069818f6398d621e28cd1e490aa,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
button-press-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_button_press.xml,d2916582394f2231d0109b5513c1a03a8110891a1c20e742fbf18f361e297914,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
button-press-wall-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_button_press_wall.xml,ab408b203bb053ebd13242a4a4feeedfee0c31e19c7c2267536c88832288854a,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
coffee-button-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_coffee.xml,f40f49c4325ac7f0baed8db50fbf36088c0b7af58b60525c79c62528beec6bf1,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
coffee-pull-v3,metaworld==3.1.1,assets/sawyer_xyz/sawyer_coffee.xml,f40f49c4325ac7f0baed8db50fbf36088c0b7af58b60525c79c62528beec6bf1,native_mjcf_entrypoint,,inherited scene source for an executed native task,False,Meta-World package license; dependency assets retain their original provenance
