id,short_name,year,title,authors,primary_category_code,source_url,scope_note,evidence_depth,reviewed_on,snapshot_membership
P001,VLOG,2017,From Lifestyle Vlogs to Everyday Interactions,David F. Fouhey and Wei-cheng Kuo and Alexei A. Efros and Jitendra Malik,V,https://arxiv.org/abs/1712.02310,Natural lifestyle video captures human-object interaction outside scripted robot demonstrations.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P002,HowTo100M,2019,HowTo100M: Learning a Text-Video Embedding by Watching Hundred Million Narrated Video Clips,Antoine Miech and Dimitri Zhukov and Jean-Baptiste Alayrac and Makarand Tapaswi and Ivan Laptev and Josef Sivic,V,https://arxiv.org/abs/1906.03327,Large weakly aligned instructional video-text corpus; narration is not an executable action label.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P003,COIN,2019,COIN: A Large-scale Dataset for Comprehensive Instructional Video Analysis,Yansong Tang and Dajun Ding and Yongming Rao and Yu Zheng and Danyang Zhang and Lili Zhao and Jiwen Lu and Jie Zhou,V,https://arxiv.org/abs/1903.02874,Multi-domain instructional procedures; useful for task coverage and step understanding.,primary metadata verified; complete abstract reviewed for this report,2026-09-20,baseline_163
P004,CrossTask,2019,Cross-task weakly supervised learning from instructional videos,Dimitri Zhukov and Jean-Baptiste Alayrac and Ramazan Gokberk Cinbis and David Fouhey and Ivan Laptev and Josef Sivic,V,https://arxiv.org/abs/1903.08225,Cross-task procedural step localization; edited instruction video differs from continuous execution.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P005,YouCook2,2017,Towards Automatic Learning of Procedures from Web Instructional Videos,Luowei Zhou and Chenliang Xu and Jason J. Corso,V,https://arxiv.org/abs/1703.09788,Cooking procedures and step-level video-language grounding.,canonical primary-source metadata verified; abstract available in source_metadata.json,2026-09-20,baseline_163
P006,Breakfast,2014,The Language of Actions: Recovering the Syntax and Semantics of Goal-Directed Human Activities,,V,https://openaccess.thecvf.com/content_cvpr_2014/html/Kuehne_The_Language_of_2014_CVPR_paper.html,Procedural breakfast preparation; useful for long activity segmentation.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P007,Charades-Ego,2018,Charades-Ego: A Large-Scale Dataset of Paired Third and First Person Videos,Gunnar A. Sigurdsson and Abhinav Gupta and Cordelia Schmid and Ali Farhadi and Karteek Alahari,V,https://arxiv.org/abs/1804.09626,Paired first-person and third-person activity views support viewpoint transfer.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P008,EGTEA Gaze+,2018,In the Eye of Beholder: Joint Learning of Gaze and Actions in First Person Video,,V,https://openaccess.thecvf.com/content_ECCV_2018/html/Yin_Li_In_the_Eye_ECCV_2018_paper.html,Egocentric cooking with gaze; attention cues are useful but not robot control supervision.,official proceedings page checked,2026-09-20,baseline_163
P009,EPIC-KITCHENS,2018,Scaling Egocentric Vision: The EPIC-KITCHENS Dataset,Dima Damen and Hazel Doughty and Giovanni Maria Farinella and Sanja Fidler and Antonino Furnari and Evangelos Kazakos and Davide Moltisanti and Jonathan Munro and Toby Perrett and Will Price and Michael Wray,V,https://arxiv.org/abs/1804.02748,Unscripted kitchen interactions; recognition and anticipation are offline endpoints.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
P010,EPIC-KITCHENS-100,2020,Rescaling Egocentric Vision,Dima Damen and Hazel Doughty and Giovanni Maria Farinella and Antonino Furnari and Evangelos Kazakos and Jian Ma and Davide Moltisanti and Jonathan Munro and Toby Perrett and Will Price and Michael Wray,V,https://arxiv.org/abs/2006.13256,Expanded kitchen benchmark with multiple evaluation tasks; same broad dataset family.,primary metadata verified; scope coded from title/abstract evidence,2026-09-20,baseline_163
