context_id,context_name,minimum_distinct_g2_context_bindings,minimum_families,minimum_mechanisms,minimum_g3_per_counted_cell,actual_validated_g2_context_bindings,actual_validated_families,actual_validated_mechanisms,actual_verified_cells,status
D01,居家生活空間,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D02,餐飲服務場所,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D03,零售門店,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D04,倉儲與配送場所,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D05,辦公與行政空間,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D06,工坊、製造與維修場所,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D07,實驗室例行物件操作,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D08,旅宿與洗衣服務,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D09,建築設施維護服務,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D10,園藝與戶外作業場域,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D11,輔助生活服務場域,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
D12,公共場館與活動場域,100,8,3,3,0,0,0,0,proposed_quota_not_achieved
