record_id,source_work,source_role,native_id,native_unit,inventory_bucket,repository,commit,definition_path,source_url,native_aliases_or_variants,asset_reference_paths,lineage,canonical_status,runtime_validation,extraction_note
behavior::adding_chemicals_to_hot_tub,BEHAVIOR-1K,native_benchmark,adding_chemicals_to_hot_tub,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/adding_chemicals_to_hot_tub/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/adding_chemicals_to_hot_tub/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::adding_chemicals_to_lawn,BEHAVIOR-1K,native_benchmark,adding_chemicals_to_lawn,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/adding_chemicals_to_lawn/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/adding_chemicals_to_lawn/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::adding_chemicals_to_pool,BEHAVIOR-1K,native_benchmark,adding_chemicals_to_pool,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/adding_chemicals_to_pool/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/adding_chemicals_to_pool/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::adding_fabric_softener,BEHAVIOR-1K,native_benchmark,adding_fabric_softener,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/adding_fabric_softener/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/adding_fabric_softener/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::applying_pesticides,BEHAVIOR-1K,native_benchmark,applying_pesticides,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/applying_pesticides/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/applying_pesticides/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::assembling_furniture,BEHAVIOR-1K,native_benchmark,assembling_furniture,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/assembling_furniture/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/assembling_furniture/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::assembling_gift_baskets,BEHAVIOR-1K,native_benchmark,assembling_gift_baskets,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/assembling_gift_baskets/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/assembling_gift_baskets/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::attach_a_camera_to_a_tripod,BEHAVIOR-1K,native_benchmark,attach_a_camera_to_a_tripod,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/attach_a_camera_to_a_tripod/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/attach_a_camera_to_a_tripod/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::bag_groceries,BEHAVIOR-1K,native_benchmark,bag_groceries,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/bag_groceries/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/bag_groceries/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
behavior::baking_cookies_for_the_PTA_bake_sale,BEHAVIOR-1K,native_benchmark,baking_cookies_for_the_PTA_bake_sale,activity_definition_directory,native_task_candidates,StanfordVL/BEHAVIOR-1K,4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f,bddl3/bddl/activity_definitions/baking_cookies_for_the_PTA_bake_sale/problem0.bddl,https://github.com/StanfordVL/BEHAVIOR-1K/blob/4b0f43dfb7f7f759e5e9f575e8d72f56492eab5f/bddl3/bddl/activity_definitions/baking_cookies_for_the_PTA_bake_sale/problem0.bddl,[],[],[],not_normalized_or_cross_work_deduplicated,not_executed,"Counted a native activity directory, not each problem file and not an instantiated or canonical task."
