native_task_id,cases,linear_bc_native_success,trees_bc_native_success,two_bc_difficulty_proxy,paired_descriptive_low,paired_descriptive_high,bootstrap_degenerate,reference_native_success,calibrated_universal_level
assembly-v3,5,0.0,1.0,0.5,,,True,1.0,
basketball-v3,5,0.0,0.6,0.7,0.5,0.9,False,1.0,
bin-picking-v3,5,0.0,0.6,0.7,0.5,0.9,False,1.0,
box-close-v3,5,0.6,0.8,0.3,0.0,0.7,False,0.8,
button-press-topdown-v3,5,1.0,1.0,0.0,,,True,1.0,
button-press-topdown-wall-v3,5,1.0,0.6,0.2,0.0,0.4,False,1.0,
button-press-v3,5,1.0,1.0,0.0,,,True,1.0,
button-press-wall-v3,5,1.0,1.0,0.0,,,True,1.0,
coffee-button-v3,5,1.0,1.0,0.0,,,True,1.0,
coffee-pull-v3,5,0.0,0.8,0.6,0.5,0.8,False,1.0,
coffee-push-v3,5,0.6,0.6,0.4,0.1,0.7,False,1.0,
dial-turn-v3,5,1.0,0.8,0.1,0.0,0.3,False,1.0,
disassemble-v3,5,0.0,0.6,0.7,0.5,0.9,False,1.0,
door-close-v3,5,1.0,1.0,0.0,,,True,1.0,
door-lock-v3,5,0.0,0.6,0.7,0.5,0.9,False,1.0,
door-open-v3,5,1.0,1.0,0.0,,,True,1.0,
door-unlock-v3,5,1.0,0.8,0.1,0.0,0.3,False,1.0,
drawer-close-v3,5,0.4,1.0,0.3,0.1,0.5,False,1.0,
drawer-open-v3,5,1.0,1.0,0.0,,,True,1.0,
faucet-close-v3,5,1.0,0.8,0.1,0.0,0.3,False,1.0,
faucet-open-v3,5,1.0,1.0,0.0,,,True,1.0,
hammer-v3,5,1.0,0.2,0.4,0.2,0.5,False,1.0,
hand-insert-v3,5,0.6,0.8,0.3,0.1,0.5,False,1.0,
handle-press-side-v3,5,1.0,1.0,0.0,,,True,1.0,
handle-press-v3,5,0.4,1.0,0.3,0.1,0.5,False,1.0,
handle-pull-side-v3,5,0.0,0.0,1.0,,,True,1.0,
handle-pull-v3,5,1.0,0.0,0.5,,,True,1.0,
lever-pull-v3,5,0.2,0.4,0.7,0.3,1.0,False,1.0,
peg-insert-side-v3,5,0.0,0.0,1.0,,,True,0.8,
peg-unplug-side-v3,5,0.0,0.0,1.0,,,True,1.0,
pick-out-of-hole-v3,5,0.4,0.4,0.6,0.3,0.9,False,1.0,
pick-place-v3,5,0.2,0.6,0.6,0.3,0.9,False,1.0,
pick-place-wall-v3,5,0.6,1.0,0.2,0.0,0.4,False,1.0,
plate-slide-back-side-v3,5,1.0,1.0,0.0,,,True,1.0,
plate-slide-back-v3,5,0.0,0.2,0.9,0.7,1.0,False,1.0,
plate-slide-side-v3,5,0.2,1.0,0.4,0.2,0.5,False,1.0,
plate-slide-v3,5,1.0,1.0,0.0,,,True,1.0,
push-back-v3,5,0.4,0.2,0.7,0.3,1.0,False,1.0,
push-v3,5,0.6,0.8,0.3,0.1,0.5,False,1.0,
push-wall-v3,5,0.8,1.0,0.1,0.0,0.3,False,1.0,
reach-v3,5,1.0,0.4,0.3,0.1,0.5,False,1.0,
reach-wall-v3,5,1.0,0.8,0.1,0.0,0.3,False,1.0,
shelf-place-v3,5,0.0,0.2,0.9,0.7,1.0,False,1.0,
soccer-v3,5,0.8,0.4,0.4,0.2,0.5,False,1.0,
stick-pull-v3,5,0.2,0.8,0.5,0.2,0.8,False,1.0,
stick-push-v3,5,1.0,1.0,0.0,,,True,1.0,
sweep-into-v3,5,0.0,0.4,0.8,0.6,1.0,False,1.0,
sweep-v3,5,0.6,0.2,0.6,0.5,0.8,False,1.0,
window-close-v3,5,1.0,0.4,0.3,0.1,0.5,False,1.0,
window-open-v3,5,1.0,0.0,0.5,,,True,1.0,
